Service Name,Tagline,Category,Price,Duration (min),Build Stage,Has Image,Has Description,Has Tagline,Live,Booking URL,Priority,Notes / Next Action
Creative Direction Session,Gentle strategy for creators in the messy middle.,Coaching Session,$127,60,Live,true,true,true,true,https://www.midnight-magnolia.com/booking-calendar/creative-direction-session,Medium,
WhollyInspired Publishing Package,,Done-For-You,$997,90,Live,false,true,false,true,https://www.midnight-magnolia.com/booking-calendar/whollyinspired-publishing-package,Critical,Add hero image; Add tagline
Free 15-Minute Publishing Consultation,,Discovery / Free,varies,15,Live,false,true,false,true,https://www.midnight-magnolia.com/booking-calendar/free-15-minute-publishing-consultation,Medium,Add hero image; Add tagline
Manuscript Development,,Service,$397,90,Live,false,true,false,true,https://www.midnight-magnolia.com/booking-calendar/manuscript-development,High,Add hero image; Add tagline
VIP Half-Day Intensive,Real-time collaboration / body-doubling support for creators who move best with focused partnership.,Done-For-You,$497,195,Live,true,true,true,true,https://www.midnight-magnolia.com/booking-calendar/vip-half-day-intensive,Critical,
Notion Sanctuary Setup,One calm digital workspace designed specifically for you.,Done-For-You,$297,120,Live,true,true,true,true,https://www.midnight-magnolia.com/booking-calendar/notion-sanctuary-setup,High,
KDP Self-Publishing Setup,,Done-For-You,$297,60,Live,false,true,false,true,https://www.midnight-magnolia.com/booking-calendar/kdp-self-publishing-setup,High,Add hero image; Add tagline
Book + Journal Bundle Package,,Done-For-You,$597,120,Live,false,true,false,true,https://www.midnight-magnolia.com/booking-calendar/book-journal-bundle-package,Critical,Add hero image; Add tagline
Brand Voice Clarity Session,Find the language that truly sounds like you. ,Coaching Session,$197,90,Live,true,true,true,true,https://www.midnight-magnolia.com/booking-calendar/brand-voice-clarity-session,High,
