Product Name,Product Code,Category,Price,Build Stage,Platform,Content Done,Design Done,Live,Gumroad URL,Priority,Upsells To,Est Monthly Revenue,Units Sold MTD,Target Audience,Notes / Next Action
Utility backpack,698BA62435690_24563,Physical Merch,64.35,Live,Wix,true,true,true,,Critical,,,,,
Utility crossbody bag,698BA8BC4ADE3_19256,Physical Merch,34.25,Live,Wix,true,true,true,,High,,,,,
Round mouse pad,698BA944D1557_25786,Physical Merch,18.13,Live,Wix,true,true,true,,Medium,,,,,
Spiral bound journal,698BAFBF538BD_24307,Physical Merch,20.57,Live,Wix,true,true,true,,High,,,,,
The Gentle Beginning — Free Shadow Work Starter,,Lead Magnet,0,Live,Wix,true,false,true,,High,,,,,Add hero image
Shadow Work Starter Kit,,Lead Magnet,9,Live,Wix,true,false,true,,Medium,,,,,Add hero image
Ancestral Healing Journal,,Journal,19,Live,Wix,true,false,true,,High,,,,,Add hero image
Creative Foundations Workbook,,Workbook,29,Live,Wix,true,false,true,,High,,,,,Add hero image
Deep Roots Shadow Work System,,Digital System,49,Live,Wix,true,false,true,,Critical,,,,,Add hero image
